State: q0, Tape: 0011B, Head Position: 0
State: q1, Tape: X011B, Head Position: 1
State: q1, Tape: X011B, Head Position: 2
State: q2, Tape: X0Y1B, Head Position: 1
State: q2, Tape: X0Y1B, Head Position: 0
State: q0, Tape: X0Y1B, Head Position: 1
State: q1, Tape: XXY1B, Head Position: 2
State: q1, Tape: XXY1B, Head Position: 3
State: q2, Tape: XXYYB, Head Position: 2
State: q2, Tape: XXYYB, Head Position: 1
State: q0, Tape: XXYYB, Head Position: 2
State: q3, Tape: XXYYB, Head Position: 3
State: q3, Tape: XXYYB, Head Position: 4
